Site,Name,Price,RAM,Storage,Url
refurbed.dk,HP ZBook Firefly 14 G7 | i5-10210U | 14&quot;,5085 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-zbook-14-firefly-g7-i5-10210u/
refurbed.dk,ASUS ROG Strix G16 G615 | i7-14650HX | 16&quot;,19905 kr.,8.0 GB,120 GB,https://www.refurbed.dk/p/asus-rog-strix-g16-g615-14650hx/
refurbed.dk,HP OmniBook Ultra Flip 14-fh | Core Ultra 7 258V | 14&quot;,"10313,01 kr.",32.0 GB,1000 GB,https://www.refurbed.dk/p/hp-omnibook-ultra-flip14-fh-258v/
refurbed.dk,Lenovo ThinkPad P15s G1 | i5-10310U | 15.6&quot;,3385 kr.,8.0 GB,2000 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p15s-g1-10310u/
refurbed.dk,Lenovo ThinkPad X1 Nano G1 | i7-1160G7 | 13&quot;,7465 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-tp-x1-nano-g1-i7-1160g7/
refurbed.dk,ASUS ZenBook Flip 14 | i5-10210U | 14&quot;,5369 kr.,8.0 GB,512 GB,https://www.refurbed.dk/p/asus-zenbook-flip14-10210u/
refurbed.dk,Dell Precision 3541 | i7-9850H | 15.6&quot;,3755 kr.,32.0 GB,256 GB,https://www.refurbed.dk/p/dell-precision-3541-i7-9850h-15/
refurbed.dk,Lenovo ThinkPad P15 G2 | i7-11850H | 15.6&quot;,5385 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p15-g2-i7-11850h/
refurbed.dk,Lenovo ThinkPad L15 G1 | Ryzen 5 PRO 4650U | 15.6&quot;,3159 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-l15-g1-r5-pro-4650u/
refurbed.dk,Dell Latitude 5440 | i5-1345U | 14&quot;,4305 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-5440-i5-1345u/
refurbed.dk,HP EliteBook 850 G5 | i5-8350U | 15.6&quot;,2609 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-850-g5-i5-8350u-156/
refurbed.dk,Razer Blade Stealth 13 (2020) | i7-1165G7 | 13.3&quot;,7205 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/razer-blade-stealth-13-20-1165g7/
refurbed.dk,Dell Latitude 7420 | i5-1145G7 | 14&quot;,2675 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-7420-i5-1145g7/
refurbed.dk,HP EliteBook 845 G8 | Ryzen 5 PRO 5650U | 14&quot;,2769 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-845-g8-pro-5650u-14/
refurbed.dk,Dell Latitude 15 5590 | i5-8250U | 15.6&quot;,2145 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-5590-i5-8250u/
refurbed.dk,Dell Latitude 3430 | i5-1235U | 14&quot;,3225 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-3430-i5-1235u/
refurbed.dk,Lenovo ThinkPad X1 Carbon G6 | i5-8350U | 14&quot;,2299 kr.,4.0 GB,120 GB,https://www.refurbed.dk/p/lenovo-tp-x1-carbon-g6-8350u-14/
refurbed.dk,Lenovo ThinkPad T480s | i5-8350U | 14&quot;,1735 kr.,4.0 GB,120 GB,https://www.refurbed.dk/p/lenovo-tp-t480s-8350u/
refurbed.dk,HP EliteBook 840 G7 | i7-10510U | 14&quot;,2505 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-g7-10510u/
refurbed.dk,Samsung Galaxy Book4 Pro 360 | Core Ultra 7 155H | 16&quot;,11849 kr.,16.0 GB,1000 GB,https://www.refurbed.dk/p/samsung-galaxy-book4pro-360-155h/
refurbed.dk,Fujitsu Lifebook E5411 | i5-1135G7 | 14&quot;,1869 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/fujitsu-lifebook-e5411-1135g7/
refurbed.dk,HP EliteBook 840 G5 | i5-8350U | 14&quot;,1875 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-840-g5-8350u/
refurbed.dk,Lenovo ThinkPad L480 | i5-8350U | 14&quot;,2135 kr.,8.0 GB,240 GB,https://www.refurbed.dk/p/lenovo-thinkpad-l480-8350u-14/
refurbed.dk,HP EliteBook 855 G7 | Ryzen 3 PRO 4450U | 15.6&quot;,2915 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-855-g7-ryzen-4450u/
refurbed.dk,Dell Precision 7760 | i9-11950H | 17.3&quot;,11375 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-7760-i9-11950h/
refurbed.dk,Lenovo ThinkPad T15 G2 | i7-1185G7 | 15.6&quot;,5375 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-t15-g2-1185g7/
refurbed.dk,Getac S410 G4 | i7-1185G7 | 14&quot;,6009 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/getac-s410-g4-i7-1185g7/
refurbed.dk,MSI Vector GP78HX 13VG | i7-13700HX | 17.3&quot;,10895 kr.,16.0 GB,1000 GB,https://www.refurbed.dk/p/msi-vector-gp78hx-13vg-13700hx/
refurbed.dk,Dell Latitude 5440 | i5-1335U | 15.6&quot;,4959 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-latitude-5440-15-6-1335u/
refurbed.dk,HP EliteBook 840 G6 | i7-8565U | 14&quot;,2935 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-840-g6-i7-8565u/
refurbed.dk,HP EliteBook x360 1030 G8 | i7-1185G7 | 13.3&quot;,4785 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-elitebook-x360-1030-g8-1185g7/
refurbed.dk,HP EliteBook 645 G10 | Ryzen 5 7530U | 14&quot;,3925 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-elitebook-645-g10-r5-7530u/
refurbed.dk,Dell Latitude 9430 | i5-1245U | 14&quot;,5255 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/dell-latitude-9430-i5-1245u/
refurbed.dk,Razer Book 13 | i7-1165G7 | 13.4&quot;,5485 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/razer-book-13-i7-1165g7-13-4/
refurbed.dk,HP EliteBook 840 G8 | i7-1165G7 | 14&quot;,3169 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-840-g8-i7-1165g7-14/
refurbed.dk,Lenovo ThinkPad L590 | i5-8365U | 15.6&quot;,3119 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-l590-8365u/
refurbed.dk,HP ZBook Power G11 | Core Ultra 7 165H | 16&quot;,12095 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/hp-zbook-power-g11-ultra-7-165h/
refurbed.dk,Lenovo ThinkBook 15 G2 ITL | i5-1135G7 | 15.6&quot;,2975 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-15-g2-itl-i5-1135g7-15/
refurbed.dk,HP ZBook Studio x360 G5 | i7-8850H | 15.6&quot;,5865 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-zbook-x360-g5-i7-8850h/
refurbed.dk,Lenovo ThinkPad X13 G4 | i7-1355U | 13.3&quot;,6459 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-x13-g4-i7-1355u/
refurbed.dk,Lenovo ThinkPad P17 G1 | i7-10850H | 17.3&quot;,9285 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p17-g1-10850h/
refurbed.dk,Lenovo ThinkPad Yoga X390 | i5-8265U | 13.3&quot;,2145 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-yoga-x390-i5-8265u/
refurbed.dk,MSI Stealth 14 Studio A13VF | Core Ultra 7 155H | 14&quot;,16545 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/msi-stealth-14-studio-a13vf-155h/
refurbed.dk,Apple MacBook Air 2015 | 13.3&quot;,1705 kr.,8.0 GB,128 GB,https://www.refurbed.dk/p/apple-macbook-air-2015-13-3/
refurbed.dk,Dell Latitude 5410 | i5-10210U | 14&quot;,1929 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-5410-i5-10210u/
refurbed.dk,HP ZBook Fury 16 G11 | i9-14900HX | 16&quot;,"35495,83 kr.",64.0 GB,2000 GB,https://www.refurbed.dk/p/hp-zbook-fury-16-g11-14900hx-16/
refurbed.dk,Lenovo ThinkPad P14s G1 | i5-10310U | 14&quot;,2725 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p14s-g1-10310u/
refurbed.dk,Dell Precision 3561 | i7-11850H | 15.6&quot;,5449 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-precision-3561-i7-11850h/
refurbed.dk,HP EliteBook x360 830 G6 | i5-8365U | 13.3&quot;,3045 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-x360-830-g6-8365u/
refurbed.dk,Dell Latitude 5501 | i5-9400H | 15.6&quot;,3235 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-5501-9400h-15-6/
refurbed.dk,Lenovo ThinkPad X1 Carbon G7 | i5-8265U | 14&quot;,2085 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-x1-carbon-8265u/
refurbed.dk,Dell Precision 7560 | i5-11500H | 15.6&quot;,6799 kr.,8.0 GB,128 GB,https://www.refurbed.dk/p/dell-precision-7560-i5-11500h/
refurbed.dk,HP OmniBook X Flip AI 16-ar | Ryzen AI 7 350 | 16&quot;,9605 kr.,24.0 GB,1000 GB,https://www.refurbed.dk/p/hp-ob-x-flip-ai-16-ar-r7-350/
refurbed.dk,Lenovo ThinkPad T14s G4 | Ryzen 5 Pro 7540U | 14&quot;,7395 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t14s-g4-ryzen-5p-7540u/
refurbed.dk,Dell Precision 5570 | i7-12700H | 15.6&quot;,6205 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-5570-i7-12700h/
refurbed.dk,Lenovo ThinkPad T15 G1 | i7-10510U | 15.6&quot;,3785 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-t15-g1-10510u/
refurbed.dk,Microsoft Surface Laptop Studio | i7-11370H | 14.4&quot;,9085 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/ms-surface-laptop-studio-11370h/
refurbed.dk,Dell Precision 7770 | i7-12850HX | 17.3&quot;,18825 kr.,64.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-7770-i7-12850hx/
refurbed.dk,HP EliteBook 840 G11 | Core Ultra 5 135U | 14&quot;,5789 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-elitebook-840-g11-5-135u/
refurbed.dk,Lenovo ThinkPad L14 G1 | i7-10610U | 14&quot;,3579 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-l14-g1-i7-10610u/
refurbed.dk,Dell Precision 7550 | i7-10850H | 15.6&quot;,5275 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-precision-7550-10850h/
refurbed.dk,HP EliteBook x360 1040 G8 | i5-1145G7 | 14&quot;,3619 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-x360-1040-g8-1146g7/
refurbed.dk,Acer Extensa 15 EX215-55 | i3-1215U | 15.6&quot;,5555 kr.,48.0 GB,120 GB,https://www.refurbed.dk/p/acer-extensa-15-ex215-55-1215u/
refurbed.dk,Dell Precision 5540 | i7-9750H | 15.6&quot;,4925 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-precision-5540-i7-9750h/
refurbed.dk,Lenovo ThinkPad Yoga X380 | i7-8650U | 13.3&quot;,2349 kr.,8.0 GB,128 GB,https://www.refurbed.dk/p/lenovo-tp-yoga-x380-8650u-13-3/
refurbed.dk,Lenovo ThinkPad P16 | i7-12850HX | 16&quot;,11705 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p17-12850hx/
refurbed.dk,Dell XPS 15 9500 | i9-10885H | 15.6&quot;,7005 kr.,64.0 GB,1000 GB,https://www.refurbed.dk/p/dell-xps-15-9500-i9-10885h/
refurbed.dk,HP ZBook Studio G7 | i7-10850H | 15.6&quot;,6459 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-zbook-studio-g7-10850h/
refurbed.dk,Lenovo ThinkPad T495 | Ryzen 3 PRO 3300U | 14&quot;,1985 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t495-ryzen-3300u/
refurbed.dk,Dell Latitude 7330 | i7-1265U | 13.3&quot;,4459 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-7330-i7-1265u-13-3/
refurbed.dk,Samsung Galaxy Book5 360 | Core Ultra 5 226V | 15.6&quot;,7049 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/samsung-galaxy-book5-360-5-226v/
refurbed.dk,Dell Precision 7560 | i7-11850H | 15.6&quot;,5939 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/dell-precision-7560-i7-11850h/
refurbed.dk,Lenovo Thinkpad T14 | i5-10210U | 14&quot;,2505 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-t14-i5-10210u/
refurbed.dk,Fujitsu Lifebook E5410 | i5-10210U | 14&quot;,2245 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/fujitsu-lifebook-e5410-i5-10210u/
refurbed.dk,Dell Precision 15 3551 | i7-10750H | 15.6&quot;,4935 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-15-3551-i7-10750h/
refurbed.dk,HP ZBook Fury 17 G7 | Xeon W-10885M | 17.3&quot;,7765 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-zbook-fury-17-g7-w-10885m-17/
refurbed.dk,HP EliteBook 855 G8 | Ryzen 7 Pro 5850U | 15.6&quot;,4255 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-elitebook-855-g8-ryzen-7-pro/
refurbed.dk,Dell Precision 5530 | Xeon E-2176M | 15.6&quot;,3655 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-5530-xeon-e-2176m/
refurbed.dk,Lenovo ThinkPad L14 G2 | i7-1165G7 | 14&quot;,4189 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-l14-g2-i7-1165g7/
refurbed.dk,HP ZBook Fury 15 G8 | i7-11800H | 15.6&quot;,6715 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/hp-zbook-15-g8-fury-i7-11800h-15/
refurbed.dk,Dell Latitude 5400 | i5-8365U | 14&quot; | Thunderbolt,1705 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-5400-8365u-th/
refurbed.dk,Lenovo ThinkPad X13 Yoga G2 | i5-1135G7 | 13.3&quot;,3215 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-x13-yoga-g2-1135g7/
refurbed.dk,Lenovo ThinkPad L490 | i5-8365U | 14&quot;,2095 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-l490-8365u-14/
